City,PM2.5,PM10,NO,NOx,NH3,CO,SO2,Benzene,AQI
Ahmedabad,71.36,115.75,0.92,17.15,12.19,0.92,27.64,0,
Ahmedabad,81.4,124.5,0.97,16.46,10.72,0.97,24.55,3.68,184
Ahmedabad,78.32,129.06,17.4,29.7,10.28,17.4,29.07,6.8,197
Ahmedabad,88.76,135.32,1.7,17.97,12.91,1.7,18.59,4.43,198
Ahmedabad,64.18,104.09,22.1,37.76,11.42,22.1,39.33,7.01,188
Ahmedabad,72.47,114.84,45.41,81.5,12.25,45.41,45.76,5.42,173
Ahmedabad,69.8,114.86,112.16,130.77,10.95,112.16,32.28,0,165
Ahmedabad,73.96,113.56,80.87,96.75,10.95,80.87,38.54,0,191
Ahmedabad,89.9,140.2,29.16,48,13.12,29.16,58.68,0,191
Ahmedabad,87.14,130.52,,0,14.36,,8.29,0,227
Ahmedabad,84.64,125,132.07,24.53,14.41,132.07,25.03,0,168
Ahmedabad,88.36,121.77,52.04,90.24,13.72,52.04,51.84,2.41,198
Ahmedabad,96.83,139.36,48.82,87.09,15.12,48.82,68.21,9.45,201
Ahmedabad,117.46,181.64,19.2,33.05,17.34,19.2,52.65,2.16,252
Ahmedabad,122.88,208.86,0.6,16.6,17.96,0.6,28.89,0.14,310
Ahmedabad,74.28,141.22,1.63,22.86,15.73,1.63,38.27,0.35,196
Ahmedabad,50.32,102.77,11.44,34.75,12.56,11.44,49.5,0.68,132
Ahmedabad,58.47,115.27,6.1,29.57,15.2,6.1,48.43,0.74,147
Ahmedabad,89.35,131.48,2.51,27.45,21.24,2.51,50.03,0.26,179
Ahmedabad,64.42,99.74,7.92,32.4,17.63,7.92,58.87,0.24,145
Ahmedabad,69.4,98.94,9.52,39.28,19.34,9.52,106.93,0.33,115
Ahmedabad,71.07,109.65,9.05,22.33,16,9.05,23.71,0,140
Ahmedabad,79.76,129.81,22.53,47.79,15.56,22.53,39.19,0.39,156
Ahmedabad,108.06,167.62,2.03,21.4,18.52,2.03,40.07,0.47,225
Ahmedabad,100.75,172.04,1.42,20.19,18.49,1.42,58.41,0.01,251
Ahmedabad,106.25,171.56,2.27,21.81,19.66,2.27,43.73,0.06,228
Ahmedabad,83.79,141.83,2.19,23.26,17.37,2.19,43.28,0.02,223
Ahmedabad,79.98,147.74,5.72,25.84,17.28,5.72,36.52,0.03,170
Ahmedabad,76.27,152.59,6.93,33.72,19.53,6.93,49.52,0.02,165
Ahmedabad,86.5,147.95,13.85,41.08,20.78,13.85,48.49,0.04,159
Ahmedabad,100.62,167.75,24.39,52.61,23.68,24.39,67.39,0.24,232
Ahmedabad,110.73,171.47,43.48,84.57,21.66,43.48,75.23,0.4,242
Ahmedabad,107.7,170.21,54.56,72.8,22.52,54.56,55.04,0.46,274
Ahmedabad,104.81,192.2,30.61,56.73,21.06,30.61,33.79,0.17,259
Ahmedabad,89.95,175.16,2.37,24,18.87,2.37,25.73,0,225
Ahmedabad,74.58,138.6,2.6,23.31,18.2,2.6,32.66,0,177
Ahmedabad,56.68,109.33,1.16,26.83,16.86,1.16,67.41,0,120
